scenario_id	domain	domain_index	brief	audience_id	audience_label	reference_image	hex_1	hex_2	hex_3	hex_4	hex_5	lab_L_1	lab_a_1	lab_b_1	lab_L_2	lab_a_2	lab_b_2	lab_L_3	lab_a_3	lab_b_3	lab_L_4	lab_a_4	lab_b_4	lab_L_5	lab_a_5	lab_b_5	annotator_a1	annotator_a2	annotator_a3	annotator_kappa	design_intent_tags	annotation_date	version
CRDS-WEB-0156	web_ui	0	A fitness tracker for young adults (18-29), with iconography-driven layout; primarily viewed on desktop screens. Dense layout with multiple data sections. Category coding will be used and needs at least four distinct hues. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-WEB-0156.jpg	#1B4639	#296B51	#7CC5A3	#CDEFCF	#EFF2F6	26.47	-18.64	3.37	40.54	-27.77	8.42	74.1	-30.37	9.93	91.33	-16.98	11.82	95.37	-0.27	-2.27	A1	A2	A3	0.73	accessible;official;calm;playful	05/04/2024	1
CRDS-WEB-0157	web_ui	0	A volunteer-coordination app for teens (13-17), with a luxurious metallic accent; must reproduce well in print. Single hero anchor with supporting elements. Category coding will be used and needs at least four distinct hues. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)		#003D6B	#0052A1	#F9F2F1	#FAA600	#000000	24.95	1.96	-31.6	35.22	10.86	-48.54	95.99	2.17	1.31	74.57	21.31	78.42	0.0	0.0	0.0	A1	A2	A3	0.77	reassuring;clarity	06/04/2024	1
CRDS-WEB-0158	web_ui	0	A online-survey builder for older adults (50+), tested under colour-vision-deficiency simulation; intended as a fresh visual identity. Single hero anchor with supporting elements. Long-form reading is the primary mode of consumption. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0158.jpg	#212427	#49545C	#646C73	#E0E1E2	#F7F7F7	14.01	-0.57	-2.46	35.06	-2.36	-6.1	45.18	-1.48	-4.94	89.48	-0.16	-0.61	97.23	-0.0	0.0	A1	A2	A3	0.77	calm;modern;neutral;energetic	05/04/2024	1
CRDS-WEB-0159	web_ui	0	A logistics-tracking interface for general adults (30-49), in a strict geometric style; must work in monochrome fallback. Asymmetrical composition. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#0F2B44	#1F5082	#568ED4	#D2DBEA	#EAF1FA	16.73	-0.69	-18.78	33.22	1.93	-32.84	58.11	2.58	-41.46	87.15	-0.14	-8.37	94.87	-0.66	-5.13	A1	A2	A3	0.75	trust;minimal;focused	07/04/2024	1
CRDS-WEB-0160	web_ui	0	A real-estate listing site for older adults (50+), respecting WCAG-AAA contrast; intended for digital-only display. Mixed text and graphics. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0160.jpg	#00335E	#075EA1	#FFFFFF	#FFB709	#040404	20.73	3.18	-29.9	38.94	3.27	-42.55	100.0	-0.0	0.0	79.13	14.61	80.82	1.1	-0.0	0.0	A1	A2	A3	0.86	accessible;dynamic;clarity	05/04/2024	1
CRDS-WEB-0161	web_ui	0	A fitness tracker for mixed / accessibility-first, using a soft pastel palette; must work in monochrome fallback. Image-heavy layout. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. The colour palette should reflect the context, audience, and intent described above.	U07	Mixed / accessibility-first	images/CRDS-WEB-0161.jpg	#292C30	#454B50	#68737B	#E9EAEB	#EAEEF3	17.86	-0.3	-3.04	31.52	-1.24	-3.8	47.8	-2.32	-5.81	92.65	-0.16	-0.6	93.93	-0.42	-2.88	A1	A2	A3	0.69	neutral;reassuring	07/04/2024	1
CRDS-WEB-0162	web_ui	0	A online-voting portal for professional / b2b, in a light-mode-first treatment; must reproduce well on backlit large-format displays. Symmetrical composition. Status indicators (success, warning, error) must be clearly distinguishable. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0162.jpg	#112440	#1B4D7D	#62A0D6	#D9E2F0	#E9EDF5	14.12	3.12	-20.13	31.85	1.36	-31.93	63.83	-4.64	-33.59	89.6	-0.34	-7.84	93.66	0.13	-4.32	A1	A2	A3	0.74	trust;minimal;professional	03/04/2024	1
CRDS-WEB-0163	web_ui	0	A expense-tracking application for general adults (30-49), with seasonal-spring overtones; primarily viewed on mobile devices. Symmetrical composition. Long-form reading is the primary mode of consumption. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0163.jpg	#184233	#316750	#70C896	#D0F6D8	#F6F6F6	24.73	-18.93	4.79	39.47	-24.01	7.55	74.16	-37.77	16.92	93.57	-17.85	10.38	96.88	-0.0	0.0	A1	A2	A3	0.87	reassuring;dynamic;calm	06/04/2024	1
CRDS-WEB-0164	web_ui	0	A meditation app for older adults (50+), with a strong photographic anchor; must remain legible in small thumbnails. Dense layout with multiple data sections. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0164.jpg	#0C2948	#1C4277	#5BA5D5	#CEDDEC	#ECF0F6	16.16	1.97	-22.43	28.05	6.49	-34.23	64.91	-9.18	-31.38	87.43	-2.06	-9.03	94.66	-0.24	-3.35	A1	A2	A3	0.86	clarity;energetic;reassuring	04/04/2024	1
CRDS-WEB-0165	web_ui	0	A analytics dashboard for marketers for teens (13-17), with a luxurious metallic accent; primarily viewed on desktop screens. Image-heavy layout. The palette should feel current but should not chase fleeting trends. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)		#123044	#1F5076	#57A0DC	#E4EAEF	#E7EAF0	18.63	-3.6	-15.8	32.56	-2.74	-26.44	63.62	-4.97	-37.28	92.39	-1.08	-3.11	92.63	0.09	-3.25	A1	A2	A3	0.81	modern;calm;trust	06/04/2024	1
CRDS-WEB-0166	web_ui	0	A loyalty-program account page for general adults (30-49), with a clean editorial layout; must reproduce well on backlit large-format displays. Multi-column grid. The work must hold up against busy backgrounds in the deployment context. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0166.jpg	#4A05F1	#9D00F4	#EE009F	#FF7300	#080919	33.8	76.4	-97.38	43.8	83.54	-82.22	52.6	83.68	-18.2	64.59	49.09	72.58	2.86	2.94	-8.81	A1	A2	A3	0.78	dynamic;focused;energetic	04/04/2024	1
CRDS-WEB-0167	web_ui	0	A food-delivery app for general adults (30-49), in a light-mode-first treatment; primarily viewed on mobile devices. Mixed text and graphics. Long-form reading is the primary mode of consumption. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#18412F	#31694B	#73C49A	#CBEECE	#EFF1F5	24.26	-19.47	6.74	40.02	-26.18	11.35	73.19	-34.3	13.44	90.92	-17.32	11.73	95.1	0.05	-2.16	A1	A2	A3	0.81	professional;dynamic;calm	05/04/2024	1
CRDS-WEB-0168	web_ui	0	A analytics dashboard for marketers for general adults (30-49), with a clean editorial layout; primarily viewed on desktop screens. Layout uses a clear visual hierarchy. Surrounding visual elements (typography, photography) are already established. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0168.jpg	#0E283C	#1D5275	#5DA3DE	#D2DEE9	#EBF0F6	15.15	-2.12	-15.72	33.09	-4.71	-24.99	64.8	-4.87	-36.53	87.89	-1.9	-6.75	94.58	-0.56	-3.47	A1	A2	A3	0.75	official;professional;energetic	06/04/2024	1
CRDS-WEB-0169	web_ui	0	A patient portal for professional / b2b, in a strict geometric style; must reproduce well on backlit large-format displays. Type-heavy layout. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0169.jpg	#0E2B3E	#1D5B7E	#548FCF	#DCE5F2	#EEF6FF	16.35	-3.4	-15.24	36.46	-6.88	-25.29	58.07	-0.03	-38.72	90.63	-0.54	-7.34	96.54	-0.98	-5.22	A1	A2	A3	0.69	playful;trust;modern	06/04/2024	1
CRDS-WEB-0170	web_ui	0	A customer-support helpdesk for young adults (18-29), favouring earth tones; viewed in bright outdoor settings. Asymmetrical composition. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-WEB-0170.jpg	#103348	#1A4675	#5A8DCD	#D9E2EC	#E4E9EE	19.82	-4.4	-16.65	29.12	2.67	-31.27	57.68	1.72	-38.18	89.49	-1.12	-5.91	92.11	-0.75	-3.0	A1	A2	A3	0.87	neutral;playful;focused	05/04/2024	1
CRDS-WEB-0171	web_ui	0	A code-review interface for young adults (18-29), with a strong primary brand colour; the design must support light and dark themes. Layout uses a clear visual hierarchy. Surrounding visual elements (typography, photography) are already established. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)		#0A0065	#053B81	#016EAE	#08A2D1	#4DC2EC	9.02	40.31	-53.73	25.99	13.41	-43.85	44.54	-1.84	-41.31	62.08	-18.22	-33.7	73.68	-19.89	-30.45	A1	A2	A3	0.87	dynamic;modern	04/04/2024	1
CRDS-WEB-0172	web_ui	0	A appointment-booking site for children (under 12), with a clean editorial layout; must reproduce well on backlit large-format displays. Strong use of negative space. Cultural connotations of certain colours should be considered for the target market. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-WEB-0172.jpg	#0E3146	#184071	#5E9CD5	#D9DEE5	#F9F9F9	18.94	-4.22	-16.69	26.88	4.84	-32.3	62.47	-3.54	-35.16	88.28	-0.38	-4.0	97.93	-0.0	0.0	A1	A2	A3	0.78	clarity;dynamic;playful;trust	05/04/2024	1
CRDS-WEB-0173	web_ui	0	A logistics-tracking interface for professional / b2b, with iconography-driven layout; viewed in low-light indoor settings. Strong use of negative space. The palette should feel current but should not chase fleeting trends. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0173.jpg	#0E2341	#1F4E71	#528BD5	#D9E2F0	#F7F7F7	13.69	3.7	-21.52	31.65	-3.37	-24.74	57.13	3.92	-43.57	89.6	-0.34	-7.84	97.23	-0.0	0.0	A1	A2	A3	0.83	professional;minimal;calm	05/04/2024	1
CRDS-WEB-0174	web_ui	0	A online-banking dashboard for general adults (30-49), with a clean editorial layout; primarily viewed on mobile devices. Mixed text and graphics. Long-form reading is the primary mode of consumption. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0174.jpg	#FD546C	#FFDA44	#98CF2D	#117ECE	#764A9B	60.17	65.35	23.2	87.88	-1.99	74.05	76.97	-39.88	68.48	51.26	1.55	-49.04	39.77	34.72	-37.24	A1	A2	A3	0.73	energetic;trust	05/04/2024	1
CRDS-WEB-0175	web_ui	0	A customer-support helpdesk for general adults (30-49), with iconography-driven layout; must respect existing brand-colour guidelines. Layout uses a clear visual hierarchy. Long-form reading is the primary mode of consumption. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0175.jpg	#0E2E45	#194B78	#5B9BDB	#E8EDF4	#F1F1F1	17.81	-2.57	-17.76	30.86	0.41	-30.38	62.32	-1.69	-38.74	93.56	-0.38	-3.96	95.15	-0.0	0.0	A1	A2	A3	0.77	dynamic;trust;official	04/04/2024	1
CRDS-WEB-0176	web_ui	0	A language-learning platform for young adults (18-29), with a high-contrast monochromatic look; viewed in bright outdoor settings. Multi-column grid. The palette should feel current but should not chase fleeting trends. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-WEB-0176.jpg	#14324B	#1F517F	#5F8DCC	#DAE1E6	#FDFDFD	19.79	-1.74	-18.71	33.37	0.11	-30.76	57.89	2.48	-37.29	89.14	-1.42	-3.25	99.31	-0.0	0.0	A1	A2	A3	0.81	professional;official	06/04/2024	1
CRDS-WEB-0177	web_ui	0	A meditation app for mixed / accessibility-first, with seasonal-summer overtones; viewed in low-light indoor settings. Single hero anchor with supporting elements. Cultural connotations of certain colours should be considered for the target market. The colour palette should reflect the context, audience, and intent described above.	U07	Mixed / accessibility-first	images/CRDS-WEB-0177.jpg	#0C2842	#19476F	#519FD1	#DCE4EF	#F5F5F5	15.43	0.07	-19.46	29.06	-0.56	-27.58	62.63	-9.05	-32.73	90.29	-0.6	-6.27	96.54	-0.0	0.0	A1	A2	A3	0.89	trust;official;calm	06/04/2024	1
CRDS-WEB-0178	web_ui	0	A team-messaging client for general adults (30-49), using a soft pastel palette; primarily viewed on desktop screens. Mixed text and graphics. Brief, scannable interaction is the primary mode of consumption. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0178.jpg	#132D4B	#234B73	#5B8CCF	#D8E2EB	#F3F3F3	18.02	1.58	-21.51	30.94	0.04	-27.1	57.54	3.15	-39.53	89.39	-1.64	-5.53	95.84	-0.0	0.0	A1	A2	A3	0.85	modern;official	08/04/2024	1
CRDS-WEB-0179	web_ui	0	A meditation app for general adults (30-49), in a vibrant neon style; must remain legible in small thumbnails. Strong use of negative space. Surrounding visual elements (typography, photography) are already established. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#0D2640	#21487D	#6099D7	#DCE0E7	#EBEFF6	14.63	0.84	-19.33	30.49	5.58	-34.08	61.8	-0.79	-37.31	89.06	-0.05	-3.88	94.33	-0.05	-3.83	A1	A2	A3	0.83	accessible;clarity;focused;friendly	06/04/2024	1
CRDS-WEB-0180	web_ui	0	A code-review interface for older adults (50+), in a muted desaturated palette; viewed in bright outdoor settings. Symmetrical composition. Long-form reading is the primary mode of consumption. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#0F3249	#1E5480	#629DCD	#E2E8F1	#F8F8F8	19.49	-3.49	-17.85	34.34	-1.58	-29.84	62.61	-5.69	-30.48	91.79	-0.33	-5.05	97.58	-0.0	0.0	A1	A2	A3	0.82	friendly;neutral	04/04/2024	1
CRDS-WEB-0181	web_ui	0	A food-delivery app for young adults (18-29), with a tactile, organic feeling; primarily viewed on desktop screens. Image-heavy layout. Brand identity is established and the palette must respect existing guidelines. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-WEB-0181.jpg	#193D2A	#266445	#77BC92	#CCEAD3	#FFFFFF	22.69	-18.33	7.85	37.76	-28.0	11.77	70.84	-30.98	14.49	90.04	-14.12	7.88	100.0	-0.0	0.0	A1	A2	A3	0.84	reassuring;accessible	04/04/2024	1
CRDS-WEB-0182	web_ui	0	A social-media scheduling tool for teens (13-17), with seasonal-spring overtones; must respect existing brand-colour guidelines. Layout uses a clear visual hierarchy. Cultural connotations of certain colours should be considered for the target market. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-WEB-0182.jpg	#FF655B	#FFC72D	#7CCA1E	#208CC0	#74529C	62.78	57.99	36.29	83.07	6.92	77.01	73.95	-48.53	69.06	54.93	-10.94	-35.27	41.45	29.7	-35.2	A1	A2	A3	0.81	energetic;reassuring;playful	04/04/2024	1
CRDS-WEB-0183	web_ui	0	A library-catalogue search for young adults (18-29), with a strong photographic anchor; intended for digital-only display. Single hero anchor with supporting elements. The atmosphere should feel approachable and human. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-WEB-0183.jpg	#14354D	#1B4C7E	#61A4D8	#E1EAF6	#EDEDED	20.94	-2.99	-18.25	31.6	2.42	-32.96	65.0	-6.47	-32.89	92.36	-0.73	-6.83	93.75	-0.0	0.0	A1	A2	A3	0.83	clarity;energetic;trust;modern	05/04/2024	1
CRDS-WEB-0184	web_ui	0	A donation platform for children (under 12), in a dark-mode-first treatment; must remain legible in small thumbnails. Asymmetrical composition. Cultural connotations of certain colours should be considered for the target market. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-WEB-0184.jpg	#00335F	#0460A6	#FFFDFD	#FFB000	#000000	20.8	3.63	-30.45	39.82	3.89	-44.12	99.46	0.66	0.23	77.47	18.19	80.62	0.0	0.0	0.0	A1	A2	A3	0.77	official;playful;accessible	06/04/2024	1
CRDS-WEB-0185	web_ui	0	A human-resources self-service portal for older adults (50+), with a high-contrast monochromatic look; viewed in bright outdoor settings. Asymmetrical composition. The design will be reproduced across multiple touchpoints from print to mobile. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#103349	#1C5182	#5E8FD5	#D5DEEA	#E5EDF5	19.88	-4.0	-17.24	33.44	0.86	-32.5	58.81	3.94	-40.89	88.13	-0.73	-6.9	93.37	-1.17	-4.78	A1	A2	A3	0.79	trust;official;focused;neutral	06/04/2024	1
CRDS-WEB-0186	web_ui	0	A smart-home control panel for professional / b2b, respecting WCAG-AA contrast; the design must support light and dark themes. Dense layout with multiple data sections. This is a fresh brand expression with no prior colour constraints. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0186.jpg	#1A462E	#2F6C57	#70C09F	#CCEED0	#EFF7FD	26.15	-21.77	10.02	41.24	-25.32	5.83	71.99	-32.21	9.02	91.03	-16.64	10.85	96.81	-1.53	-3.79	A1	A2	A3	0.76	reassuring;accessible;minimal	06/04/2024	1
CRDS-WEB-0187	web_ui	0	A pharmacy-refill application for professional / b2b, in a light-mode-first treatment; viewed in low-light indoor settings. Mixed text and graphics. The work must hold up against busy backgrounds in the deployment context. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0187.jpg	#F9615E	#FFDF3B	#94C32D	#1F7FCC	#694B96	61.22	57.89	32.46	89.09	-4.86	78.16	73.23	-36.05	64.92	51.64	1.05	-47.29	38.27	29.18	-36.72	A1	A2	A3	0.83	playful;modern	05/04/2024	1
CRDS-WEB-0188	web_ui	0	A podcast-listening application for young adults (18-29), with a strong photographic anchor; must remain legible in small thumbnails. Multi-column grid. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)		#FB5E5C	#FDBD3D	#87D11E	#247FCC	#6B4B9C	61.04	59.7	33.42	80.53	11.78	69.48	76.58	-47.56	71.54	51.74	1.47	-47.13	38.83	31.33	-39.43	A1	A2	A3	0.84	energetic;trust	07/04/2024	1
CRDS-WEB-0189	web_ui	0	A content-management dashboard for general adults (30-49), with a strong primary brand colour; intended as a fresh visual identity. Dense layout with multiple data sections. Brand identity is established and the palette must respect existing guidelines. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0189.jpg	#FFCD00	#FB970C	#1CB6C6	#94C7EE	#022948	84.45	3.17	85.39	71.33	29.65	74.88	67.86	-31.17	-18.72	78.06	-7.08	-24.57	15.83	0.54	-22.98	A1	A2	A3	0.75	reassuring;focused;playful;friendly	08/04/2024	1
CRDS-WEB-0190	web_ui	0	A library-catalogue search for teens (13-17), with a tactile, organic feeling; viewed in bright outdoor settings. Layout uses a clear visual hierarchy. The work must hold up against busy backgrounds in the deployment context. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-WEB-0190.jpg	#0F283C	#1C4D73	#5688CD	#E0E9F1	#EAEDF1	15.2	-1.91	-15.65	31.33	-2.44	-26.51	56.08	3.83	-40.72	91.9	-1.5	-4.91	93.63	-0.28	-2.28	A1	A2	A3	0.76	accessible;trust;professional;energetic	07/04/2024	1
CRDS-WEB-0191	web_ui	0	A civic-services portal for professional / b2b, with a strong photographic anchor; must remain legible in small thumbnails. Image-heavy layout. Cultural connotations of certain colours should be considered for the target market. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0191.jpg	#1B3F31	#35705D	#74CD99	#E3F8E8	#F6FAFF	23.7	-17.01	4.67	42.97	-24.28	4.72	75.87	-38.35	17.72	95.7	-9.77	5.34	98.11	-0.42	-2.85	A1	A2	A3	0.81	reassuring;playful;modern	07/04/2024	1
CRDS-WEB-0192	web_ui	0	A real-estate listing site for mixed / accessibility-first, evoking modernity; must reproduce well in print. Single hero anchor with supporting elements. Status indicators (success, warning, error) must be clearly distinguishable. The colour palette should reflect the context, audience, and intent described above.	U07	Mixed / accessibility-first		#F9A000	#FF9204	#1DB3C3	#85CDEA	#053444	73.08	24.03	77.39	70.76	33.8	75.76	66.85	-30.6	-18.58	78.8	-15.07	-21.36	19.66	-8.39	-14.22	A1	A2	A3	0.73	energetic;focused;playful;minimal	04/04/2024	1
CRDS-WEB-0193	web_ui	0	A social-media scheduling tool for older adults (50+), with seasonal-autumn overtones; must reproduce well on backlit large-format displays. Image-heavy layout. The atmosphere should feel approachable and human. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0193.jpg	#0F3145	#1D567F	#5DA7D8	#D0DAE4	#EEF5FD	18.92	-4.45	-16.03	34.9	-3.39	-28.35	65.69	-8.95	-31.84	86.58	-1.45	-6.06	96.23	-0.84	-4.64	A1	A2	A3	0.8	professional;playful;accessible;focused	06/04/2024	1
CRDS-WEB-0194	web_ui	0	A online-voting portal for professional / b2b, with seasonal-spring overtones; intended as a fresh visual identity. Image-heavy layout. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0194.jpg	#2500F5	#A40CEE	#F80072	#FF7701	#0E0D2D	31.77	77.12	-103.09	44.7	82.05	-77.31	53.14	82.06	9.84	65.33	47.2	72.85	5.15	10.49	-20.75	A1	A2	A3	0.75	official;dynamic	05/04/2024	1
CRDS-WEB-0195	web_ui	0	A food-delivery app for older adults (50+), with seasonal-spring overtones; primarily viewed on desktop screens. Strong use of negative space. Tone should feel premium without being intimidating. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0195.jpg	#0B223D	#1C5174	#5A99D9	#D6E0EC	#E7EDF3	12.93	2.13	-19.93	32.68	-4.61	-25.01	61.62	-1.38	-38.73	88.76	-1.06	-7.0	93.46	-0.89	-3.59	A1	A2	A3	0.83	friendly;trust	08/04/2024	1
CRDS-WEB-0196	web_ui	0	A content-management dashboard for teens (13-17), respecting WCAG-AAA contrast; must work in monochrome fallback. Single hero anchor with supporting elements. Status indicators (success, warning, error) must be clearly distinguishable. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-WEB-0196.jpg	#003167	#004A9D	#FCFCFC	#FFD200	#000000	20.73	8.73	-35.79	32.55	14.62	-50.44	98.96	-0.0	0.0	85.68	0.61	86.26	0.0	0.0	0.0	A1	A2	A3	0.78	reassuring;clarity	05/04/2024	1
CRDS-WEB-0197	web_ui	0	A podcast-listening application for general adults (30-49), evoking modernity; the design must support light and dark themes. Layout uses a clear visual hierarchy. Surrounding visual elements (typography, photography) are already established. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0197.jpg	#03285D	#0249A4	#FDF3F2	#FFC300	#080808	17.12	11.15	-35.07	32.83	18.33	-54.21	96.57	3.17	1.67	82.0	8.31	83.69	2.19	-0.0	0.0	A1	A2	A3	0.81	trust;accessible;playful	07/04/2024	1
CRDS-WEB-0198	web_ui	0	A insurance-claim tracker for children (under 12), with seasonal-autumn overtones; the design must support light and dark themes. Symmetrical composition. This is a fresh brand expression with no prior colour constraints. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-WEB-0198.jpg	#1B4A3A	#2B6549	#70C490	#D5FCDF	#F3F9FF	27.94	-20.5	4.82	38.38	-26.29	10.24	72.85	-37.13	18.31	95.62	-17.92	9.74	97.64	-0.89	-3.56	A1	A2	A3	0.77	accessible;reassuring;dynamic;energetic	05/04/2024	1
CRDS-WEB-0199	web_ui	0	A tax-filing assistant for professional / b2b, favouring earth tones; must reproduce well in print. Multi-column grid. Tone should feel premium without being intimidating. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0199.jpg	#11344B	#205578	#5197CF	#E2E6EA	#E2E7F0	20.37	-3.68	-17.81	34.31	-4.98	-24.94	60.24	-5.2	-35.34	91.1	-0.61	-2.41	91.51	-0.01	-4.94	A1	A2	A3	0.72	focused;energetic;trust	07/04/2024	1
CRDS-WEB-0200	web_ui	0	A music-streaming application for teens (13-17), tested under colour-vision-deficiency simulation; primarily viewed on desktop screens. Dense layout with multiple data sections. Cultural connotations of certain colours should be considered for the target market. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)		#112D43	#1B4673	#61A1D0	#D4DDEB	#E3E8EF	17.46	-2.13	-16.93	29.03	2.01	-30.14	63.82	-7.24	-30.28	87.83	-0.34	-7.87	91.81	-0.38	-3.97	A1	A2	A3	0.84	reassuring;minimal;official;playful	05/04/2024	1
CRDS-WEB-0201	web_ui	0	A logistics-tracking interface for older adults (50+), with a tactile, organic feeling; must reproduce well on backlit large-format displays. Strong use of negative space. Tone should feel premium without being intimidating. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0201.jpg	#0F2A40	#1F4F75	#60A4CC	#DFE4EB	#F1F1F1	16.14	-1.67	-16.95	32.18	-2.48	-26.41	64.48	-10.31	-27.04	90.4	-0.38	-3.98	95.15	-0.0	0.0	A1	A2	A3	0.85	friendly;clarity;professional	05/04/2024	1
CRDS-WEB-0202	web_ui	0	A food-delivery app for older adults (50+), evoking modernity; the design must support light and dark themes. Asymmetrical composition. The palette should feel current but should not chase fleeting trends. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#2301FC	#8A08EA	#FA0092	#FF7D00	#0B0C26	32.71	78.59	-105.46	40.44	78.86	-82.19	54.45	84.9	-7.45	66.47	44.3	73.67	4.28	6.91	-16.84	A1	A2	A3	0.71	energetic;dynamic;accessible	06/04/2024	1
CRDS-WEB-0203	web_ui	0	A online-voting portal for professional / b2b, with seasonal-winter overtones; the design must support light and dark themes. Mixed text and graphics. Long-form reading is the primary mode of consumption. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#0C233A	#1F4579	#639CDC	#D7DEE4	#EDF0F3	13.14	0.25	-17.48	29.23	5.71	-33.6	63.01	-0.31	-38.2	88.11	-1.23	-3.75	94.65	-0.46	-1.79	A1	A2	A3	0.75	professional;modern	08/04/2024	1
CRDS-WEB-0204	web_ui	0	A project-management tool for older adults (50+), favouring earth tones; must reproduce well on backlit large-format displays. Dense layout with multiple data sections. The palette should feel current but should not chase fleeting trends. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0204.jpg	#FFD309	#FA8E07	#27A8BF	#90C2E5	#022840	85.94	0.17	85.66	69.25	33.85	74.07	63.5	-25.61	-21.45	76.17	-7.79	-22.62	14.96	-2.44	-18.85	A1	A2	A3	0.78	neutral;friendly;reassuring	06/04/2024	1
